Group	Codon_freq	Foreground_Species	Background_Species	ω_value_M0	lnL_M0	np_M0	ω_value_branch_neutral_foreground	ω_value_branch_neutral_background	lnL_bneutral	np_bneutral	ω_value_branchfree_foreground	ω_value_branchfree_background	lnL_bfree	np_bfree	pvalm0_bfree	pavalbne_bfree
Amphibia	F1x4	Xenopus_laevis	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_tropicalis,Bombina_bombina	0.22133	-6270.234206	15	1	0.20552	-6268.015441	15	0.5674	0.20901	-6267.611446	16	0.022003351222683	0.368715175831089
Amphibia	F3x4	Xenopus_laevis	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_tropicalis,Bombina_bombina	0.22312	-6249.142894	15	1	0.20548	-6246.121395	15	0.6511	0.20825	-6245.890436	16	0.010757664604828	0.496728954972418
Amphibia	F1x4	Xenopus_tropicalis	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Bombina_bombina	0.22133	-6270.234206	15	1	0.1985	-6263.813189	15	0.71728	0.20063	-6263.581625	16	0.000264676422033	0.496165715213221
Amphibia	F3x4	Xenopus_tropicalis	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Bombina_bombina	0.22312	-6249.142894	15	1	0.19802	-6241.749624	15	0.7865	0.1996	-6241.626863	16	0.000105700092172	0.620245975812925
Artiodactyla	F1x4	Axis_porcinus	Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Neophocaena_asiaeorientalis,Phocoena_sinus,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Balaenoptera_musculus,Balaenoptera_acutorostrata,Hippopotamus_amphibius,Moschus_berezovskii,Bos_mutus,Bison_bison,Bos_taurus,Bos_indicus,Bubalus_bubalis,Bubalus_carabanensis,Oryx_dammah,Capra_hircus,Ovis_aries,Budorcas_taxicolor,Cervus_canadensis,Cervus_elaphus,Odocoileus_virginianus,Rangifer_tarandus,Giraffa_camelopardalis,Phacochoerus_africanus,Sus_scrofa,Catagonus_wagneri	0.32574	-4501.165048	73	1	0.3313	-4504.657533	73	0.06411	0.33115	-4499.569159	74	0.074009475108076	0.001422228012029
Artiodactyla	F3x4	Axis_porcinus	Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Neophocaena_asiaeorientalis,Phocoena_sinus,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Balaenoptera_musculus,Balaenoptera_acutorostrata,Hippopotamus_amphibius,Moschus_berezovskii,Bos_mutus,Bison_bison,Bos_taurus,Bos_indicus,Bubalus_bubalis,Bubalus_carabanensis,Oryx_dammah,Capra_hircus,Ovis_aries,Budorcas_taxicolor,Cervus_canadensis,Cervus_elaphus,Odocoileus_virginianus,Rangifer_tarandus,Giraffa_camelopardalis,Phacochoerus_africanus,Sus_scrofa,Catagonus_wagneri	0.20742	-4453.738602	73	1	0.21077	-4459.060827	73	0.04178	0.21083	-4452.200372	74	0.079433242538115	0.000212080091307
Artiodactyla	F1x4	Balaenoptera_acutorostrata	Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Neophocaena_asiaeorientalis,Phocoena_sinus,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Balaenoptera_musculus,Hippopotamus_amphibius,Moschus_berezovskii,Bos_mutus,Bison_bison,Bos_taurus,Bos_indicus,Bubalus_bubalis,Bubalus_carabanensis,Oryx_dammah,Capra_hircus,Ovis_aries,Budorcas_taxicolor,Cervus_canadensis,Cervus_elaphus,Axis_porcinus,Odocoileus_virginianus,Rangifer_tarandus,Giraffa_camelopardalis,Phacochoerus_africanus,Sus_scrofa,Catagonus_wagneri	0.32574	-4501.165048	73	1	0.32756	-4502.568628	73	0.1334	0.32764	-4500.83569	74	0.41701360982878	0.062647316225863
Artiodactyla	F3x4	Balaenoptera_acutorostrata	Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Neophocaena_asiaeorientalis,Phocoena_sinus,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Balaenoptera_musculus,Hippopotamus_amphibius,Moschus_berezovskii,Bos_mutus,Bison_bison,Bos_taurus,Bos_indicus,Bubalus_bubalis,Bubalus_carabanensis,Oryx_dammah,Capra_hircus,Ovis_aries,Budorcas_taxicolor,Cervus_canadensis,Cervus_elaphus,Axis_porcinus,Odocoileus_virginianus,Rangifer_tarandus,Giraffa_camelopardalis,Phacochoerus_africanus,Sus_scrofa,Catagonus_wagneri	0.20742	-4453.738602	73	1	0.20859	-4456.067202	73	0.08673	0.20863	-4453.418059	74	0.423317814258129	0.021346419738991
Artiodactyla	F1x4	Balaenoptera_musculus	Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Neophocaena_asiaeorientalis,Phocoena_sinus,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Balaenoptera_acutorostrata,Hippopotamus_amphibius,Moschus_berezovskii,Bos_mutus,Bison_bison,Bos_taurus,Bos_indicus,Bubalus_bubalis,Bubalus_carabanensis,Oryx_dammah,Capra_hircus,Ovis_aries,Budorcas_taxicolor,Cervus_canadensis,Cervus_elaphus,Axis_porcinus,Odocoileus_virginianus,Rangifer_tarandus,Giraffa_camelopardalis,Phacochoerus_africanus,Sus_scrofa,Catagonus_wagneri	0.32574	-4501.165048	73	1	0.3229	-4500.625636	73	1.1377	0.3229	-4500.496076	74	0.24739687361551	0.6107253720567
Artiodactyla	F3x4	Balaenoptera_musculus	Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Physeter_catodon,Lipotes_vexillifer,Delphinapterus_leucas,Monodon_monoceros,Neophocaena_asiaeorientalis,Phocoena_sinus,Orcinus_orca,Lagenorhynchus_obliquidens,Globicephala_melas,Tursiops_truncatus,Balaenoptera_acutorostrata,Hippopotamus_amphibius,Moschus_berezovskii,Bos_mutus,Bison_bison,Bos_taurus,Bos_indicus,Bubalus_bubalis,Bubalus_carabanensis,Oryx_dammah,Capra_hircus,Ovis_aries,Budorcas_taxicolor,Cervus_canadensis,Cervus_elaphus,Axis_porcinus,Odocoileus_virginianus,Rangifer_tarandus,Giraffa_camelopardalis,Phacochoerus_africanus,Sus_scrofa,Catagonus_wagneri	0.20742	-4453.738602	73	1	0.20529	-4452.82342	73	1.00446	0.20529	-4452.823415	74	0.17608337685889	0.997476871715064
